Name, RAh, RAm, RAs, Dech, Decm, Decs, l, b 
CXOU J010043.1-721134, 01, 00, 43.14, -72, 11, 33.8, 301.93009, -44.91747
4U 0142+61, 01, 46, 22.407, +61, 45, 03.19, 129.38399, -0.43075
SGR 0418+5729, 04, 18, 33.867, +57, 32, 22.91, 147.97904, 5.11914
SGR 0501+4516, 05, 01, 06.76, +45, 16, 33.92, 161.54669, 1.94893
SGR 0526-66, 05, 26, 00.89, -66, 04, 36.3, 276.08669, -33.24602
1E 1048.1-5937, 10, 50, 07.14, -59, 53, 21.4, 288.2565, -0.52014
1E 1547.0-5408, 15, 50, 54.12386, -54, 18, 24.1141, 327.23693, -0.13167
PSR J1622-4950, 16, 22, 44.89, -49, 50, 52.7, 333.84954, -0.10183
SGR 1627-41, 16, 35, 51.844, -47, 35, 23.31, 336.97612, -0.1115
CXOU J164710.2-455216, 16, 47, 10.20, -45, 52, 16.90, 339.54574, -0.43082
1RXS J170849.0-400910, 17, 08, 46.87, -40, 08, 52.44, 346.48093, 0.03609
CXOU J171405.7-381031, 17, 14, 05.74, -38, 10, 30.9, 348.68094, 0.3712
SGR J1745-2900, 17, 45, 40.164, -29, 00, 29.818, 359.94408, -0.04679
SGR 1806-20, 18, 08, 39.337, -20, 24, 39.85, 9.99592, -0.24194
XTE J1810-197, 18, 09, 51.08696, -19, 43, 51.9315, 10.72684, -0.15839
Swift J1822.3-1606, 18, 22, 18.00, -16, 04, 26.8, 15.35266, -1.02095
SGR 1833-0832, 18, 33, 44.37, -08, 31, 07.5, 23.34019, 0.02042
Swift J1834.9-0846, 18, 34, 52.118, -08, 45, 56.02, 23.24974, -0.341
1E 1841-045, 18, 41, 19.343, -04, 56, 11.16, 27.38685, -0.00655
3XMM J185246.6+003317, 18, 52, 46.67, +00, 33, 17.8, 33.57855, -0.04507
SGR 1900+14, 19, 07, 14.33, +09, 19, 20.1, 43.02105, 0.76561
SGR 1935+2154, 19, 34, 55.5978, +21, 53, 47.7864, 57.24674, 0.81898
1E 2259+586, 23, 01, 08.295, +58, 52, 44.45, 109.08735, -0.99575
SGR 0755-2933, 07, 55, 42.48, -29, 33, 49.2, 246.22454, -0.61452
SGR 1801-23, 18, 00, 59, -22, 56, 48, 6.91224, 0.06853
SGR 1808-20, 18, 08, 11.2, -20, 38, 49, 9.7364, -0.26041
AX J1818.8-1559, 18, 18, 51.38, -15, 59, 22.62, 15.03721, -0.25134
AX J1845.0-0258, 18, 44, 54.68, -02, 56, 53.1, 29.56445, 0.10634
SGR 2013+34, 20, 13, 56.9, +34, 19, 48, 72.32032, -0.10102
PSR J1846-0258, 18, 46, 24.94, -02, 58, 30.1, 29.71195, -0.24011
GRB1900+14, , , , , , , 43.02, 0.772
