,H,aH,He,C,Fe
0,"(2.031896543752082, 2.017976067503441)","(2.143953831457883, 1.952388675645145)","(1.9910268657253025, 2.0407382742119955)","(1.638860509850133, 2.1419070906939823)","(1.7756758216459714, 2.087141551358474)"
1,"(2.211884502381178, 2.651426514413232)","(2.3443093148474206, 2.606977632970199)","(2.171255699610406, 2.6754434515088303)","(1.8864837139336517, 2.706660316813614)","(0.9202776062295688, -3.098228181662377)"
2,"(2.2775547410467665, 2.7192878398516616)","(2.3794477759666863, 2.683162079154562)","(2.2193711315452442, 2.711626262381953)","(1.9767745625714712, 2.7760974171116364)","(0.9363889564429144, 3.046810176493374)"
3,"(2.4995745808577796, 2.6898264330967914)","(2.603308368209769, 2.6500341630376143)","(2.4386020229613665, 2.7156948472802775)","(2.191273425773991, 2.848858365003649)","(0.9811159066534809, 3.1153522834689342)"
4,"(2.510164088069077, 3.1294610553038185)","(2.6107061568164287, 3.1314530874091075)","(2.459219815372372, 3.1310543257965215)","(2.2664139480517713, -3.1211362420480593)","(1.6887633338332255, -2.82626205038102)"
5,"(1.8723627681679553, -3.074014646787514)","(2.034090210861978, -3.0902973727180885)","(1.8209651244335676, -3.0686931435099307)","(1.5201950637828034, -2.9860741193575766)","(0.4391452918857216, 3.093602355713403)"
6,"(1.6149400565307348, 2.271806650567429)","(1.73180990134814, 2.257123658461377)","(1.550109631015218, 2.2318538937033634)","(1.6328686129784291, 2.4629910041866263)","(0.7905141684397429, 2.2108272566705223)"
7,"(1.0745069991360496, -3.0999776811200546)","(1.0696931295346614, -3.1130454632596662)","(1.0765690353471213, -3.096765225720004)","(1.1004604308663233, -3.063102412094175)","(1.227122919268985, -2.866100185962204)"
8,"(0.7363801214371406, -2.2283354563730855)","(0.7387341069267266, -2.220905560075234)","(0.7375867118395865, -2.245926758711259)","(0.7699016942814036, -2.2402851527630774)","(0.8204814002434255, -2.2975323235021787)"
9,"(1.0470138980150754, -2.0422575377980285)","(1.0596346863606978, -2.0524897883012563)","(1.0482398173512832, -2.0266212581288414)","(1.0464729783596114, -1.9924757189514353)","(0.9155895953336273, -2.0711791607562775)"
10,"(0.6988621695267436, 2.641925462564006)","(0.6692539709380587, 2.642558900680877)","(0.7157520384288181, 2.635452853607679)","(0.7628124200033254, 2.6571087312641115)","(0.8496551973104391, 2.643061918010923)"
11,"(0.6717965117007295, 2.663443218765494)","(0.6181029869166111, 2.662529719748516)","(0.6912438825905491, 2.664014190698647)","(0.7479336072088871, 2.679935716276643)","(0.8019430605769688, 2.851023200479485)"
12,"(0.3379700847801458, 1.694801022930136)","(0.2785493623549929, 1.2423041472309242)","(0.37852203454314076, 1.8232231607365532)","(0.5486031248633875, 2.1140716589603423)","(0.9525845094970605, 2.4475426429904474)"
13,"(0.2019739525399298, 0.25228581768296315)","(0.32050191696666547, -0.08753821466211735)","(0.14631005607191394, 0.39895138368408484)","(0.12067278020861763, 1.871944995546463)","(0.68094241198463, 2.60379185226433)"
14,"(0.427825510121702, 1.3049361120498228)","(0.40033880638744107, 0.9502865921992092)","(0.4535179894635522, 1.4065491127727519)","(0.547257756483484, 1.834164709167185)","(1.2329185292978113, 2.2712980875187303)"
15,"(1.221687592462128, 1.7653359703592268)","(1.1981265357363893, 1.7573887483599555)","(1.2407115819195638, 1.785191137915659)","(1.3008755809768884, 1.8030791929017838)","(1.3524192021204329, 2.113477781069165)"
16,"(1.19855803164464, 1.4934862602946486)","(1.1275635794511063, 1.4121271303833394)","(1.2231158239931692, 1.5124363728933783)","(1.3425152433532255, 1.5762074296903528)","(1.590585701520599, 1.9176149029764908)"
17,"(1.515808718292282, 1.7729144530810226)","(1.5343362889050267, 1.7958196608516277)","(1.4533532254633332, 1.8773330094605871)","(1.430087387820621, 2.021830254717656)","(0.8936737144955341, 1.9155993398092155)"
