,Event,Object,Seed,Hit
0,30,sgr,268435450,"(0, 0.0)"
1,30,grs,268435450,"(0, 0.0)"
2,30,ss,268435450,"(0, 0.0)"
3,30,ngc_cords,268435450,"(0, 0.0)"
4,30,sgr,977105038,"(0, 0.0)"
5,30,grs,977105038,"(0, 0.0)"
6,30,ss,977105038,"(0, 0.0)"
7,30,ngc_cords,977105038,"(0, 0.0)"
8,30,sgr,687194752,"(0, 0.0)"
9,30,grs,687194752,"(0, 0.0)"
10,30,ss,687194752,"(0, 0.0)"
11,30,ngc_cords,687194752,"(31, 0.031)"
12,30,sgr,0,"(0, 0.0)"
13,30,grs,0,"(0, 0.0)"
14,30,ss,0,"(0, 0.0)"
15,30,ngc_cords,0,"(0, 0.0)"
16,22,sgr,300647704,"(0, 0.0)"
17,22,grs,300647704,"(0, 0.0)"
18,22,ss,300647704,"(0, 0.0)"
19,22,ngc_cords,300647704,"(0, 0.0)"
20,22,sgr,42949672,"(0, 0.0)"
21,22,grs,42949672,"(0, 0.0)"
22,22,ss,42949672,"(0, 0.0)"
23,22,ngc_cords,42949672,"(0, 0.0)"
24,23,sgr,869730858,"(0, 0.0)"
25,23,grs,869730858,"(15, 0.015)"
26,23,ss,869730858,"(0, 0.0)"
27,23,ngc_cords,869730858,"(0, 0.0)"
28,30,sgr,536870900,"(0, 0.0)"
29,30,grs,536870900,"(0, 0.0)"
30,30,ss,536870900,"(0, 0.0)"
31,30,ngc_cords,536870900,"(0, 0.0)"
32,23,sgr,397284466,"(0, 0.0)"
33,23,grs,397284466,"(0, 0.0)"
34,23,ss,397284466,"(0, 0.0)"
35,23,ngc_cords,397284466,"(91, 0.091)"
36,22,sgr,214748360,"(0, 0.0)"
37,22,grs,214748360,"(0, 0.0)"
38,22,ss,214748360,"(0, 0.0)"
39,22,ngc_cords,214748360,"(0, 0.0)"
40,23,sgr,236223196,"(0, 0.0)"
41,23,grs,236223196,"(0, 0.0)"
